2026-01-14 16:33:41,886 | DEBUG | passlib.registry | registered 'pbkdf2_sha256' handler: <class 'passlib.handlers.pbkdf2.pbkdf2_sha256'>
2026-01-14 16:33:41,962 | WARNING | werkzeug |  * Debugger is active!
2026-01-14 16:33:41,968 | INFO | werkzeug |  * Debugger PIN: 242-094-371
2026-01-14 16:34:10,145 | INFO | werkzeug |  * Detected change in 'E:\\TejasPractice\\User_management_system\\backend\\app\\errors.py', reloading
2026-01-14 16:34:11,593 | DEBUG | passlib.registry | registered 'pbkdf2_sha256' handler: <class 'passlib.handlers.pbkdf2.pbkdf2_sha256'>
2026-01-14 16:34:11,674 | WARNING | werkzeug |  * Debugger is active!
2026-01-14 16:34:11,680 | INFO | werkzeug |  * Debugger PIN: 242-094-371
2026-01-14 16:35:25,894 | INFO | werkzeug |  * Detected change in 'E:\\TejasPractice\\User_management_system\\backend\\app\\errors.py', reloading
2026-01-14 16:35:27,161 | DEBUG | passlib.registry | registered 'pbkdf2_sha256' handler: <class 'passlib.handlers.pbkdf2.pbkdf2_sha256'>
2026-01-14 16:35:27,218 | WARNING | werkzeug |  * Debugger is active!
2026-01-14 16:35:27,224 | INFO | werkzeug |  * Debugger PIN: 242-094-371
2026-01-14 16:37:14,087 | INFO | werkzeug | 127.0.0.1 - - [14/Jan/2026 16:37:14] "OPTIONS /users HTTP/1.1" 200 -
2026-01-14 16:37:14,090 | INFO | werkzeug | 127.0.0.1 - - [14/Jan/2026 16:37:14] "OPTIONS /users HTTP/1.1" 200 -
2026-01-14 16:37:14,257 | INFO | werkzeug | 127.0.0.1 - - [14/Jan/2026 16:37:14] "GET /users HTTP/1.1" 200 -
2026-01-14 16:37:14,325 | INFO | werkzeug | 127.0.0.1 - - [14/Jan/2026 16:37:14] "GET /users HTTP/1.1" 200 -
2026-01-14 16:37:15,858 | INFO | werkzeug | 127.0.0.1 - - [14/Jan/2026 16:37:15] "OPTIONS /users/5 HTTP/1.1" 200 -
2026-01-14 16:37:15,861 | INFO | werkzeug | 127.0.0.1 - - [14/Jan/2026 16:37:15] "OPTIONS /users/5 HTTP/1.1" 200 -
2026-01-14 16:37:15,873 | INFO | werkzeug | 127.0.0.1 - - [14/Jan/2026 16:37:15] "GET /users/5 HTTP/1.1" 200 -
2026-01-14 16:37:15,878 | INFO | werkzeug | 127.0.0.1 - - [14/Jan/2026 16:37:15] "GET /users/5 HTTP/1.1" 200 -
2026-01-14 16:37:15,948 | INFO | werkzeug | 127.0.0.1 - - [14/Jan/2026 16:37:15] "[36mGET /uploads/profiles/avatar.png HTTP/1.1[0m" 304 -
2026-01-14 16:37:19,013 | INFO | werkzeug | 127.0.0.1 - - [14/Jan/2026 16:37:19] "GET /users HTTP/1.1" 200 -
2026-01-14 16:37:19,069 | INFO | werkzeug | 127.0.0.1 - - [14/Jan/2026 16:37:19] "GET /users HTTP/1.1" 200 -
2026-01-14 16:37:20,488 | INFO | werkzeug | 127.0.0.1 - - [14/Jan/2026 16:37:20] "GET /users/5 HTTP/1.1" 200 -
2026-01-14 16:37:20,496 | INFO | werkzeug | 127.0.0.1 - - [14/Jan/2026 16:37:20] "GET /users/5 HTTP/1.1" 200 -
2026-01-14 16:37:20,511 | INFO | werkzeug | 127.0.0.1 - - [14/Jan/2026 16:37:20] "[36mGET /uploads/profiles/avatar.png HTTP/1.1[0m" 304 -
2026-01-14 16:37:23,426 | INFO | werkzeug | 127.0.0.1 - - [14/Jan/2026 16:37:23] "OPTIONS /users HTTP/1.1" 200 -
2026-01-14 16:37:23,429 | INFO | werkzeug | 127.0.0.1 - - [14/Jan/2026 16:37:23] "OPTIONS /users HTTP/1.1" 200 -
2026-01-14 16:37:23,503 | INFO | werkzeug | 127.0.0.1 - - [14/Jan/2026 16:37:23] "GET /users HTTP/1.1" 200 -
2026-01-14 16:37:23,547 | INFO | werkzeug | 127.0.0.1 - - [14/Jan/2026 16:37:23] "GET /users HTTP/1.1" 200 -
2026-01-14 16:37:30,325 | INFO | werkzeug | 127.0.0.1 - - [14/Jan/2026 16:37:30] "OPTIONS /users/86 HTTP/1.1" 200 -
2026-01-14 16:37:30,327 | INFO | werkzeug | 127.0.0.1 - - [14/Jan/2026 16:37:30] "OPTIONS /users/86 HTTP/1.1" 200 -
2026-01-14 16:37:30,338 | INFO | werkzeug | 127.0.0.1 - - [14/Jan/2026 16:37:30] "GET /users/86 HTTP/1.1" 200 -
2026-01-14 16:37:30,348 | INFO | werkzeug | 127.0.0.1 - - [14/Jan/2026 16:37:30] "GET /users/86 HTTP/1.1" 200 -
2026-01-14 16:37:30,360 | INFO | werkzeug | 127.0.0.1 - - [14/Jan/2026 16:37:30] "[36mGET /uploads/profiles/avatar.png HTTP/1.1[0m" 304 -
2026-01-14 16:37:41,934 | INFO | werkzeug | 127.0.0.1 - - [14/Jan/2026 16:37:41] "OPTIONS /users/86 HTTP/1.1" 200 -
2026-01-14 16:37:41,939 | WARNING | app.errors | {'age': ['Must be greater than or equal to 18 and less than or equal to 60.']}
2026-01-14 16:37:41,939 | INFO | werkzeug | 127.0.0.1 - - [14/Jan/2026 16:37:41] "[31m[1mPUT /users/86 HTTP/1.1[0m" 400 -
2026-01-14 16:39:37,782 | INFO | werkzeug | 127.0.0.1 - - [14/Jan/2026 16:39:37] "OPTIONS /users HTTP/1.1" 200 -
2026-01-14 16:39:37,792 | INFO | werkzeug | 127.0.0.1 - - [14/Jan/2026 16:39:37] "OPTIONS /users HTTP/1.1" 200 -
2026-01-14 16:39:37,890 | INFO | werkzeug | 127.0.0.1 - - [14/Jan/2026 16:39:37] "GET /users HTTP/1.1" 200 -
2026-01-14 16:39:37,947 | INFO | werkzeug | 127.0.0.1 - - [14/Jan/2026 16:39:37] "GET /users HTTP/1.1" 200 -
2026-01-14 16:40:46,960 | INFO | werkzeug | 127.0.0.1 - - [14/Jan/2026 16:40:46] "OPTIONS /login HTTP/1.1" 200 -
2026-01-14 16:40:46,967 | WARNING | app.errors | Invalid credentials
2026-01-14 16:40:46,968 | INFO | werkzeug | 127.0.0.1 - - [14/Jan/2026 16:40:46] "[31m[1mPOST /login HTTP/1.1[0m" 401 -
2026-01-15 11:00:25,672 | DEBUG | passlib.registry | registered 'pbkdf2_sha256' handler: <class 'passlib.handlers.pbkdf2.pbkdf2_sha256'>
2026-01-15 11:00:25,921 | INFO | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2026-01-15 11:00:25,922 | INFO | werkzeug | [33mPress CTRL+C to quit[0m
2026-01-15 11:00:25,925 | INFO | werkzeug |  * Restarting with stat
2026-01-15 11:00:27,250 | DEBUG | passlib.registry | registered 'pbkdf2_sha256' handler: <class 'passlib.handlers.pbkdf2.pbkdf2_sha256'>
2026-01-15 11:00:27,337 | WARNING | werkzeug |  * Debugger is active!
2026-01-15 11:00:27,343 | INFO | werkzeug |  * Debugger PIN: 242-094-371
2026-01-15 11:03:53,038 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:03:53] "OPTIONS /login HTTP/1.1" 200 -
2026-01-15 11:03:53,358 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:03:53] "POST /login HTTP/1.1" 200 -
